Doc. vente;Don. ordre;GrVd;Créé le;DébValid;Offre;Date doc.;TypDC;Valeur nette;Dev.;AgCom;Dat.lv.req;Date cde;NbRel;Dern. rel.;TDVt;Motif de la commande client/op;Mod. doc.;Prb;BlLi;Dat.garant;
1201002710;1230090;6;13.12.2016;00.00.0000;00.00.0000;13.12.2016;C;250;EUR;2;31.12.2016;13.12.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205004133;100;;00.00.0000;0
1201002710;1230090;6;13.12.2016;00.00.0000;00.00.0000;13.12.2016;C;250;EUR;2;31.12.2016;13.12.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205004133;100;;00.00.0000;0
1205003924;1211009;6;07.11.2016;07.11.2016;07.12.2016;07.11.2016;B;250;EUR;2;30.01.2017;07.11.2016;0;00.00.0000;OF;Devis : En cours;;70;;00.00.0000;0
1205003924;1211009;6;07.11.2016;07.11.2016;07.12.2016;07.11.2016;B;250;EUR;2;30.01.2017;07.11.2016;0;00.00.0000;OF;Devis : En cours;;70;;00.00.0000;0
1201002676;1210301;6;06.12.2016;00.00.0000;00.00.0000;06.12.2016;C;250;EUR;2;06.12.2016;01.12.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205004012;100;;00.00.0000;0
1201002676;1210301;6;06.12.2016;00.00.0000;00.00.0000;06.12.2016;C;250;EUR;2;06.12.2016;01.12.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205004012;100;;00.00.0000;0
1201001622;1210717;6;23.02.2016;00.00.0000;00.00.0000;23.02.2016;C;250;EUR;2;22.02.2016;22.02.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205002518;100;;00.00.0000;0
1201001622;1210717;6;23.02.2016;00.00.0000;00.00.0000;23.02.2016;C;250;EUR;2;22.02.2016;22.02.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205002518;100;;00.00.0000;0
1205002312;1211455;6;14.01.2016;14.01.2016;12.02.2016;14.01.2016;B;250,7;EUR;2;08.02.2016;14.01.2016;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002312;1211455;6;14.01.2016;14.01.2016;12.02.2016;14.01.2016;B;250,7;EUR;2;08.02.2016;14.01.2016;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1201002445;1211607;6;07.10.2016;00.00.0000;00.00.0000;07.10.2016;C;251,07;EUR;2;12.10.2016;06.10.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205003676;100;;00.00.0000;0
1201002445;1211607;6;07.10.2016;00.00.0000;00.00.0000;07.10.2016;C;251,07;EUR;2;12.10.2016;06.10.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205003676;100;;00.00.0000;0
1201000602;1210512;6;21.04.2015;00.00.0000;00.00.0000;21.04.2015;C;251,8;EUR;2;22.04.2015;21.04.2015;0;00.00.0000;ZCSD;;1205001052;100;;00.00.0000;0
1201000602;1210512;6;21.04.2015;00.00.0000;00.00.0000;21.04.2015;C;251,8;EUR;2;22.04.2015;21.04.2015;0;00.00.0000;ZCSD;;1205001052;100;;00.00.0000;0
1205001372;1210889;6;23.06.2015;23.06.2015;22.07.2015;23.06.2015;B;252;EUR;2;24.06.2015;23.06.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205001372;1210889;6;23.06.2015;23.06.2015;22.07.2015;23.06.2015;B;252;EUR;2;24.06.2015;23.06.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1201000808;1210889;6;24.06.2015;00.00.0000;00.00.0000;24.06.2015;C;252;EUR;2;17.07.2015;24.06.2015;0;00.00.0000;ZCSD;;1205001372;100;;00.00.0000;0
1201000808;1210889;6;24.06.2015;00.00.0000;00.00.0000;24.06.2015;C;252;EUR;2;17.07.2015;24.06.2015;0;00.00.0000;ZCSD;;1205001372;100;;00.00.0000;0
1201000354;1211329;6;16.02.2015;00.00.0000;00.00.0000;16.02.2015;C;252;EUR;2;27.02.2015;13.02.2015;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1201000354;1211329;6;16.02.2015;00.00.0000;00.00.0000;16.02.2015;C;252;EUR;2;27.02.2015;13.02.2015;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1205002201;1210246;6;21.12.2015;21.12.2015;31.12.2015;21.12.2015;B;252,72;EUR;2;22.12.2015;00.00.0000;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002201;1210246;6;21.12.2015;21.12.2015;31.12.2015;21.12.2015;B;252,72;EUR;2;22.12.2015;00.00.0000;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000629;1210283;6;03.02.2015;03.02.2015;03.03.2015;03.02.2015;B;252,8;EUR;2;06.02.2015;03.02.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000629;1210283;6;03.02.2015;03.02.2015;03.03.2015;03.02.2015;B;252,8;EUR;2;06.02.2015;03.02.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1201000311;1210283;6;04.02.2015;00.00.0000;00.00.0000;04.02.2015;C;252,8;EUR;2;05.02.2015;04.02.2015;0;00.00.0000;ZCSD;;1205000629;100;;00.00.0000;0
1201000311;1210283;6;04.02.2015;00.00.0000;00.00.0000;04.02.2015;C;252,8;EUR;2;05.02.2015;04.02.2015;0;00.00.0000;ZCSD;;1205000629;100;;00.00.0000;0
1201001403;1210712;6;18.12.2015;00.00.0000;00.00.0000;18.12.2015;C;253,05;EUR;2;21.12.2015;18.12.2015;0;00.00.0000;ZCSD;;1205002177;100;;00.00.0000;0
1201001403;1210712;6;18.12.2015;00.00.0000;00.00.0000;18.12.2015;C;253,05;EUR;2;21.12.2015;18.12.2015;0;00.00.0000;ZCSD;;1205002177;100;;00.00.0000;0
1205002177;1210712;6;17.12.2015;17.12.2015;31.12.2015;17.12.2015;B;253,05;EUR;2;17.12.2015;17.12.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002177;1210712;6;17.12.2015;17.12.2015;31.12.2015;17.12.2015;B;253,05;EUR;2;17.12.2015;17.12.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1201001362;1210068;6;09.12.2015;00.00.0000;00.00.0000;09.12.2015;C;253,25;EUR;2;09.12.2015;09.12.2015;0;00.00.0000;ZCSD;;1205002053;100;;00.00.0000;0
1201001362;1210068;6;09.12.2015;00.00.0000;00.00.0000;09.12.2015;C;253,25;EUR;2;09.12.2015;09.12.2015;0;00.00.0000;ZCSD;;1205002053;100;;00.00.0000;0
1205002053;1210068;6;23.11.2015;23.11.2015;23.12.2015;23.11.2015;B;253,25;EUR;2;07.12.2015;23.11.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002053;1210068;6;23.11.2015;23.11.2015;23.12.2015;23.11.2015;B;253,25;EUR;2;07.12.2015;23.11.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205004222;1211062;6;29.12.2016;29.12.2016;31.12.2016;29.12.2016;B;253,75;EUR;2;29.12.2016;29.12.2016;0;00.00.0000;OF;Devis : En cours;;70;;00.00.0000;0
1205004222;1211062;6;29.12.2016;29.12.2016;31.12.2016;29.12.2016;B;253,75;EUR;2;29.12.2016;29.12.2016;0;00.00.0000;OF;Devis : En cours;;70;;00.00.0000;0
1201000303;1220028;6;02.02.2015;00.00.0000;00.00.0000;02.02.2015;C;254;EUR;2;16.02.2015;23.01.2015;0;00.00.0000;ZCSD;;1205000012;100;;00.00.0000;0
1201000303;1220028;6;02.02.2015;00.00.0000;00.00.0000;02.02.2015;C;254;EUR;2;16.02.2015;23.01.2015;0;00.00.0000;ZCSD;;1205000012;100;;00.00.0000;0
1201000236;1211062;6;19.01.2015;00.00.0000;00.00.0000;19.01.2015;C;254,9;EUR;2;29.01.2015;19.01.2015;0;00.00.0000;ZCSD;;1205000487;100;;00.00.0000;0
1201000236;1211062;6;19.01.2015;00.00.0000;00.00.0000;19.01.2015;C;254,9;EUR;2;29.01.2015;19.01.2015;0;00.00.0000;ZCSD;;1205000487;100;;00.00.0000;0
1201000031;1210380;6;02.01.2015;00.00.0000;00.00.0000;30.12.2014;C;255,3;EUR;2;09.02.2015;00.00.0000;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
